feature,avg_abs_error
load_mw,0.34251568
voltage_kv,0.38118094
frequency_hz,0.6751214
solar_mw,0.17554624
wind_mw,0.5649559
hydro_mw,0.79136103
thermal_mw,0.78857845
reactive_power_mvar,0.43274876
power_factor,0.43235373
demand_forecast_mw,0.29403764
import_mw,0.37435034
export_mw,0.57946444
line_temp_c,0.32371294
transformer_load_pct,0.38696244
substation_pressure_kpa,0.8067445
frequency_setpoint_hz,0.79329
frequency_error_mhz,0.7858708
var_comp_alert,0.8520809
humidity_pct,0.46595672
ambient_temp_c,0.22021833
wind_speed_ms,0.565387
irradiance_wm2,0.08694317
barometric_kpa,0.78962773
rainfall_mm,0.710007
pmu_angle_deg,0.7933567
pmu_magnitude,0.7852341
battery_soc_pct,0.35845122
ev_charging_kw,0.35864243
grid_loss_pct,0.7902176
cyber_signal_offset,0.68124306
